CompraID,NIF,Marca,Preço_Litro,Quantidade_Litros,Valor_Total,Data,Tipo_Combustivel,Metodo_Pagamento
1,943078376,BP,1.93,52.99,102.27,2025-01-01,gasolina,MBWay
2,235537948,REPSOL,1.87,26.63,49.8,2025-01-02,gasoleo,Dinheiro
3,463698785,GALP,2.27,47.15,107.03,2025-01-03,gpl,Cartão
4,695632895,GALP,2.13,26.94,57.38,2025-01-04,gasolina,MBWay
5,275030782,PRIO,1.84,27.41,50.43,2025-01-05,gasolina,MBWay
6,469246050,REPSOL,2.22,40.82,90.62,2025-01-06,gasoleo,Apple Pay
7,926413722,CEPSA,2.18,58.95,128.51,2025-01-07,gpl,Cartão
8,130623150,PRIO,2.28,54.24,123.67,2025-01-08,gpl,Dinheiro
9,223200039,CEPSA,1.92,20.01,38.42,2025-01-09,gasolina,Apple Pay
10,269168344,BP,2.14,49.13,105.14,2025-01-10,gpl,Cartão
11,698930154,PRIO,2.13,49.07,104.52,2025-01-11,gasolina,MBWay
12,435842138,CEPSA,1.84,34.56,63.59,2025-01-12,gasoleo,Dinheiro
13,278156525,REPSOL,1.82,38.46,70.0,2025-01-13,gasolina,Cartão
14,173879079,REPSOL,1.96,34.09,66.82,2025-01-14,gasoleo,MBWay
15,270817555,GALP,1.99,26.21,52.16,2025-01-15,gasoleo,MBWay
16,680164012,CEPSA,1.99,45.14,89.83,2025-01-16,gasolina,Apple Pay
17,509854190,GALP,1.85,43.62,80.7,2025-01-17,gasoleo,Dinheiro
18,833300226,CEPSA,2.15,33.3,71.59,2025-01-18,gasolina,MBWay
19,692176085,BP,2.19,41.39,90.64,2025-01-19,gpl,Apple Pay
20,896820409,BP,1.9,24.7,46.93,2025-01-20,gasolina,Dinheiro
21,132399106,PRIO,2.12,57.89,122.73,2025-01-21,gpl,Apple Pay
22,505316998,REPSOL,2.3,62.43,143.59,2025-01-22,gasolina,Apple Pay
23,784030269,GALP,2.26,55.47,125.36,2025-01-23,gasoleo,Cartão
24,468540926,CEPSA,1.94,57.58,111.71,2025-01-24,gasolina,Cartão
25,503534056,REPSOL,1.85,40.97,75.79,2025-01-25,gasolina,Apple Pay
26,560938418,BP,1.97,49.05,96.63,2025-01-26,gasolina,Apple Pay
27,646986509,REPSOL,1.98,47.25,93.55,2025-01-27,gpl,MBWay
28,285494240,PRIO,2.13,50.6,107.78,2025-01-28,gasolina,MBWay
29,115101077,GALP,2.28,63.68,145.19,2025-01-29,gasoleo,Apple Pay
30,558382114,GALP,1.88,24.93,46.87,2025-01-30,gasoleo,Cartão
31,850035139,PRIO,2.17,49.29,106.96,2025-01-31,gpl,Cartão
32,660287054,GALP,2.17,35.45,76.93,2025-02-01,gasolina,Cartão
33,169408410,BP,1.99,56.51,112.45,2025-02-02,gasoleo,MBWay
34,314294955,BP,2.16,25.16,54.35,2025-02-03,gasolina,Cartão
35,239864728,REPSOL,2.3,43.98,101.15,2025-02-04,gpl,Cartão
36,725330341,REPSOL,1.98,64.97,128.64,2025-02-05,gpl,MBWay
37,926228222,REPSOL,1.92,38.13,73.21,2025-02-06,gasolina,Apple Pay
38,810856879,BP,2.21,24.19,53.46,2025-02-07,gpl,Dinheiro
39,350083320,CEPSA,2.07,22.14,45.83,2025-02-08,gasolina,Apple Pay
40,384493337,PRIO,2.03,29.54,59.97,2025-02-09,gpl,MBWay
41,928049411,REPSOL,2.12,52.92,112.19,2025-02-10,gasoleo,Cartão
42,372875040,PRIO,2.18,46.61,101.61,2025-02-11,gasoleo,Apple Pay
43,220652879,CEPSA,2.16,64.18,138.63,2025-02-12,gasoleo,Cartão
44,309950755,BP,1.81,49.32,89.27,2025-02-13,gasolina,MBWay
45,261339214,CEPSA,2.22,54.97,122.03,2025-02-14,gasoleo,MBWay
46,137021682,REPSOL,2.21,32.46,71.74,2025-02-15,gasoleo,Dinheiro
47,354890791,PRIO,2.0,32.24,64.48,2025-02-16,gasolina,Dinheiro
48,447728985,BP,1.93,24.02,46.36,2025-02-17,gpl,Apple Pay
49,605426774,REPSOL,2.25,44.48,100.08,2025-02-18,gasoleo,MBWay
50,826357704,REPSOL,1.8,63.19,113.74,2025-02-19,gasolina,Dinheiro
51,590556762,GALP,2.23,43.34,96.65,2025-02-20,gasolina,MBWay
52,149469480,GALP,1.9,54.32,103.21,2025-02-21,gpl,Dinheiro
53,726857784,BP,1.84,25.55,47.01,2025-02-22,gpl,Cartão
54,517254420,PRIO,1.84,41.51,76.38,2025-02-23,gasoleo,Apple Pay
55,396084413,BP,2.28,24.6,56.09,2025-02-24,gpl,MBWay
56,813428724,CEPSA,2.1,62.05,130.31,2025-02-25,gasolina,Dinheiro
57,568836956,REPSOL,2.01,57.47,115.51,2025-02-26,gasoleo,Cartão
58,699005899,CEPSA,1.95,56.36,109.9,2025-02-27,gasolina,Apple Pay
59,451596570,CEPSA,2.21,47.03,103.94,2025-02-28,gasolina,Cartão
60,707622526,PRIO,1.84,44.48,81.84,2025-03-01,gpl,Dinheiro
61,801715474,CEPSA,1.87,29.37,54.92,2025-03-02,gasolina,Cartão
62,350774140,BP,1.92,43.27,83.08,2025-03-03,gasolina,Dinheiro
63,378549652,REPSOL,2.14,56.73,121.4,2025-03-04,gasoleo,Apple Pay
64,290553888,CEPSA,2.07,43.49,90.02,2025-03-05,gpl,MBWay
65,416053703,PRIO,2.13,53.72,114.42,2025-03-06,gasoleo,Cartão
66,647569849,CEPSA,1.99,57.04,113.51,2025-03-07,gasoleo,Apple Pay
67,852856269,REPSOL,2.06,26.5,54.59,2025-03-08,gpl,Dinheiro
68,157634024,PRIO,1.97,27.17,53.52,2025-03-09,gasolina,Dinheiro
69,748630658,PRIO,2.23,54.2,120.87,2025-03-10,gasoleo,Dinheiro
70,554106428,GALP,1.92,43.14,82.83,2025-03-11,gasoleo,Dinheiro
71,719422261,PRIO,2.09,36.53,76.35,2025-03-12,gasoleo,MBWay
72,252248690,REPSOL,2.15,47.05,101.16,2025-03-13,gpl,Apple Pay
73,486408055,CEPSA,2.28,54.22,123.62,2025-03-14,gasoleo,Cartão
74,682398149,PRIO,1.88,51.65,97.1,2025-03-15,gasolina,Cartão
75,798885941,CEPSA,1.92,50.26,96.5,2025-03-16,gasoleo,Apple Pay
76,937199558,PRIO,2.09,36.03,75.3,2025-03-17,gasolina,MBWay
77,903386375,REPSOL,2.28,27.43,62.54,2025-03-18,gpl,Dinheiro
78,892836366,GALP,2.14,27.07,57.93,2025-03-19,gasoleo,Dinheiro
79,469663535,BP,2.21,29.01,64.11,2025-03-20,gpl,Cartão
80,770139792,CEPSA,1.85,60.96,112.78,2025-03-21,gasolina,Apple Pay
81,901100840,BP,2.05,55.64,114.06,2025-03-22,gpl,MBWay
82,917890433,CEPSA,2.19,60.02,131.44,2025-03-23,gasoleo,Apple Pay
83,243625155,BP,2.13,40.42,86.09,2025-03-24,gpl,Cartão
84,739302663,PRIO,2.23,24.81,55.33,2025-03-25,gpl,Dinheiro
85,427758723,GALP,2.28,28.92,65.94,2025-03-26,gpl,MBWay
86,212434180,BP,2.1,54.78,115.04,2025-03-27,gpl,Apple Pay
87,956959380,BP,2.07,62.09,128.53,2025-03-28,gpl,Dinheiro
88,433573884,REPSOL,2.02,22.94,46.34,2025-03-29,gasoleo,MBWay
